team,fifa_code
Algeria,ALG
Argentina,ARG
Australia,AUS
Austria,AUT
Belgium,BEL
Bolivia,BOL
Bosnia and Herzegovina,BIH
Brazil,BRA
Canada,CAN
Cape Verde,CPV
Colombia,COL
Croatia,CRO
Curacao,CUW
Czech Republic,CZE
Czechia,CZE
Denmark,DEN
DR Congo,COD
Ecuador,ECU
Egypt,EGY
England,ENG
France,FRA
Germany,GER
Ghana,GHA
Haiti,HTI
Iran,IRN
Iraq,IRQ
Italy,ITA
Ivory Coast,CIV
Jamaica,JAM
Japan,JPN
Jordan,JOR
Kosovo,KOS
Mexico,MEX
Morocco,MAR
Netherlands,NED
New Caledonia,NCL
New Zealand,NZL
North Macedonia,MKD
Northern Ireland,NIR
Norway,NOR
Panama,PAN
Paraguay,PAR
Poland,POL
Portugal,POR
Qatar,QAT
Republic of Ireland,IRL
Romania,ROU
Saudi Arabia,KSA
Scotland,SCO
Senegal,SEN
Slovakia,SVK
South Africa,RSA
South Korea,KOR
Spain,ESP
Suriname,SUR
Sweden,SWE
Switzerland,SUI
Tunisia,TUN
Turkey,TUR
USA,USA
Uruguay,URU
Uzbekistan,UZB
Wales,WAL
